longitude,latitude,dist,latlon
116.293479,39.967021,海淀,"116.293479,39.967021"
116.289427,39.959175,海淀,"116.289427,39.959175"
116.292721,39.959747,海淀,"116.292721,39.959747"
116.285995,39.961689,海淀,"116.285995,39.961689"
116.288287,39.968979,海淀,"116.288287,39.968979"
116.292721,39.959747,海淀,"116.292721,39.959747"
116.284543,39.967085,海淀,"116.284543,39.967085"
116.29173,39.972148,海淀,"116.29173,39.972148"
116.289427,39.959175,海淀,"116.289427,39.959175"
116.296405,39.963242,海淀,"116.296405,39.963242"
116.288983,39.964722,海淀,"116.288983,39.964722"
116.290082,39.966788,海淀,"116.290082,39.966788"
116.29173,39.972148,海淀,"116.29173,39.972148"
116.290667,39.973422,海淀,"116.290667,39.973422"
116.292805,39.957287,海淀,"116.292805,39.957287"
116.2853,39.968624,海淀,"116.2853,39.968624"
116.293479,39.967021,海淀,"116.293479,39.967021"
116.288983,39.964722,海淀,"116.288983,39.964722"
116.284543,39.967085,海淀,"116.284543,39.967085"
116.293479,39.967021,海淀,"116.293479,39.967021"
116.293479,39.967021,海淀,"116.293479,39.967021"
116.296405,39.963242,海淀,"116.296405,39.963242"
116.290082,39.966788,海淀,"116.290082,39.966788"
116.289427,39.959175,海淀,"116.289427,39.959175"
116.286376,39.959535,海淀,"116.286376,39.959535"
116.292805,39.957287,海淀,"116.292805,39.957287"
116.289427,39.959175,海淀,"116.289427,39.959175"
116.293479,39.967021,海淀,"116.293479,39.967021"
116.29173,39.972148,海淀,"116.29173,39.972148"
116.286376,39.959535,海淀,"116.286376,39.959535"
116.293479,39.967021,海淀,"116.293479,39.967021"
116.286376,39.959535,海淀,"116.286376,39.959535"
116.286376,39.959535,海淀,"116.286376,39.959535"
116.287916,39.962074,海淀,"116.287916,39.962074"
116.293479,39.967021,海淀,"116.293479,39.967021"
116.289427,39.959175,海淀,"116.289427,39.959175"
116.296405,39.963242,海淀,"116.296405,39.963242"
116.286376,39.959535,海淀,"116.286376,39.959535"
116.286376,39.959535,海淀,"116.286376,39.959535"
116.286376,39.959535,海淀,"116.286376,39.959535"
116.290082,39.966788,海淀,"116.290082,39.966788"
116.298972,39.943157,海淀,"116.298972,39.943157"
116.290367,39.941155,海淀,"116.290367,39.941155"
116.284321,39.942689,海淀,"116.284321,39.942689"
116.282889,39.942772,海淀,"116.282889,39.942772"
116.275381,39.947186,海淀,"116.275381,39.947186"
116.294131,39.942343,海淀,"116.294131,39.942343"
116.289093,39.941244,海淀,"116.289093,39.941244"
116.296249,39.949325,海淀,"116.296249,39.949325"
116.283962,39.951413,海淀,"116.283962,39.951413"
116.282553,39.947605,海淀,"116.282553,39.947605"
116.293535,39.951438,海淀,"116.293535,39.951438"
116.27921,39.943762,海淀,"116.27921,39.943762"
116.278835,39.956753,海淀,"116.278835,39.956753"
116.284321,39.942689,海淀,"116.284321,39.942689"
116.293137,39.9457,海淀,"116.293137,39.9457"
116.296249,39.949325,海淀,"116.296249,39.949325"
116.299142,39.948865,海淀,"116.299142,39.948865"
116.275381,39.947186,海淀,"116.275381,39.947186"
116.293137,39.9457,海淀,"116.293137,39.9457"
116.293137,39.9457,海淀,"116.293137,39.9457"
116.289093,39.941244,海淀,"116.289093,39.941244"
116.299142,39.948865,海淀,"116.299142,39.948865"
116.278664,39.958771,海淀,"116.278664,39.958771"
116.282553,39.947605,海淀,"116.282553,39.947605"
116.298094,39.95077,海淀,"116.298094,39.95077"
116.278664,39.958771,海淀,"116.278664,39.958771"
116.27921,39.943762,海淀,"116.27921,39.943762"
116.289093,39.941244,海淀,"116.289093,39.941244"
116.29797,39.939975,海淀,"116.29797,39.939975"
