_id,bathroom_num,bedroom_num,bizcircle_name,city,dist,distance,frame_orientation,hall_num,house_tag,house_title,latitude,layout,longitude,m_url,rent_area,rent_price_listing,rent_price_unit,resblock_name,type
5d1a098538a4e51e8e5e0729,1,1,田村,北京,海淀,912,南,0,近地铁 精装 集中供暖 随时看房,整租·乐府江南 1室0厅 南,39.933567,1室0厅1卫,116.268601,https://m.lianjia.com/chuzu/bj/zufang/BJ2281598026252828672.html,38,5000,元/月,乐府江南,整租
5d1a1f4138a4e51e8e5e5219,1,1,回龙观,北京,昌平,,北,0,集中供暖,整租·东亚上北中心 1房间 北,40.087773,1房间1卫,116.347998,https://m.lianjia.com/chuzu/bj/zufang/BJ2263042389168373760.html,39,4300,元/月,东亚上北中心,整租
5d1a0a0338a4e51e8e5e08de,1,2,五棵松,北京,海淀,,南 北,1,集中供暖,整租·永金里小区 2室1厅 南/北,39.927194,2室1厅1卫,116.278849,https://m.lianjia.com/chuzu/bj/zufang/BJ2141761762084012032.html,86,6500,元/月,永金里小区,整租
5d1a1e0d38a4e51e8e5e4dcd,2,2,北七家,北京,昌平,,南 北,2,随时看房,名佳花园一区 2室2厅 南/北,40.111125,2室2厅2卫,116.429292,https://m.lianjia.com/chuzu/bj/zufang/BJ2280862517825634304.html,89,4600,元/月,名佳花园一区,整租
5d1a0dd838a4e51e8e5e15df,1,1,菜户营,北京,丰台,,南 北,1,精装 集中供暖 新上,整租·顺驰蓝调 1室1厅 南/北,39.877035,1室1厅1卫,116.345863,https://m.lianjia.com/chuzu/bj/zufang/BJ2290427672045551616.html,74,6200,元/月,顺驰蓝调,整租
5d1a2c3c38a4e51e8e5e7632,1,3,长阳,北京,房山,,南 北,1,集中供暖,绿地新都会 3室1厅 南/北,39.760938,3室1厅1卫,116.16963,https://m.lianjia.com/chuzu/bj/zufang/BJ2279718216928870400.html,100,4500,元/月,绿地新都会,整租
5d1a2b0138a4e51e8e5e7252,1,2,顺义城,北京,顺义,,南 北,1,集中供暖 新上 随时看房,裕龙三区 2室1厅 南/北,40.129754,2室1厅1卫,116.678194,https://m.lianjia.com/chuzu/bj/zufang/BJ2290991680071417856.html,94,3800,元/月,裕龙三区,整租
5d1a2b5338a4e51e8e5e7368,1,2,顺义其它,北京,顺义,,东,1,集中供暖,鹭峯国际 3房间 东,40.101955,3房间1卫,116.66943,https://m.lianjia.com/chuzu/bj/zufang/BJ2254861567684788224.html,91,3500,元/月,鹭峯国际,整租
5d1a2c2c38a4e51e8e5e75fb,1,1,长阳,北京,房山,1186,东,0,随时看房,半岛金街 1房间 东,39.759459,1房间1卫,116.219353,https://m.lianjia.com/chuzu/bj/zufang/BJ2227580481275707392.html,53,3600,元/月,半岛金街,整租
5d1a218b38a4e51e8e5e58e2,3,4,高米店南,北京,大兴,1178,南 北,2,精装,整租·翡翠城三期 4室2厅 南/北,39.777309,4室2厅3卫,116.32146,https://m.lianjia.com/chuzu/bj/zufang/BJ2252904832006356992.html,192,18000,元/月,翡翠城三期,整租
5d1a1d6f38a4e51e8e5e4b9b,1,4,奥林匹克公园,北京,昌平,61,南 北,2,近地铁 集中供暖,整租·上林世家 4室2厅 南/北,40.025173,4室2厅1卫,116.380489,https://m.lianjia.com/chuzu/bj/zufang/BJ2236703511511302144.html,213,22000,元/月,上林世家,整租
5d1a11dc38a4e51e8e5e23bb,1,1,青塔,北京,丰台,,南,1,集中供暖 随时看房,整租·青塔秀园 1室1厅 南,39.897262,1室1厅1卫,116.269851,https://m.lianjia.com/chuzu/bj/zufang/BJ2231903805765582848.html,45,3800,元/月,青塔秀园,整租
5d1a2a6d38a4e51e8e5e7047,1,1,顺义城,北京,顺义,,南 北,1,集中供暖,整租·石园北区 1室1厅 南/北,40.118729,1室1厅1卫,116.670101,https://m.lianjia.com/chuzu/bj/zufang/BJ2233915729785667584.html,73,2900,元/月,石园北区,整租
5d1a0e0e38a4e51e8e5e169c,1,2,大红门,北京,丰台,1033,东南,1,集中供暖 随时看房,上海建筑 2室1厅 东南,39.842515,2室1厅1卫,116.39391,https://m.lianjia.com/chuzu/bj/zufang/BJ2278689567294881792.html,89,6700,元/月,上海建筑,整租
5d1a239c38a4e51e8e5e5df1,1,1,天宫院南,北京,大兴,,南,1,精装 集中供暖 随时看房,整租·众美MIMO公馆 2房间 南,39.638571,2房间1卫,116.329311,https://m.lianjia.com/chuzu/bj/zufang/BJ2274671465309667328.html,52,2300,元/月,众美MIMO公馆,整租
5d1a1a5938a4e51e8e5e40bf,2,3,通州其它,北京,亦庄开发区,,南 北,1,双卫生间 随时看房,整租·润枫领尚 3室1厅 南/北,39.830621,3室1厅2卫,116.561289,https://m.lianjia.com/chuzu/bj/zufang/BJ2226660512274317312.html,120,5500,元/月,润枫领尚,整租
5d1a152938a4e51e8e5e2f27,1,2,门头沟其它,北京,门头沟,,南,1,集中供暖 随时看房,中国铁建梧桐汇 3房间 南,39.90556,3房间1卫,116.15254,https://m.lianjia.com/chuzu/bj/zufang/BJ2266614738190876672.html,78,3600,元/月,中国铁建梧桐汇,整租
5d1a17be38a4e51e8e5e37ab,2,5,潞苑,北京,通州,,南 北,3,集中供暖 双卫生间,整租·新华联培训中心家属楼 5室3厅 南/北,39.937087,5室3厅2卫,116.677896,https://m.lianjia.com/chuzu/bj/zufang/BJ2173835667174866944.html,143,5500,元/月,新华联培训中心家属楼,整租
5d1a1d7a38a4e51e8e5e4bc0,1,2,奥林匹克公园,北京,昌平,,南,1,,澳林春天一期 2室1厅 南,40.018311,2室1厅1卫,116.375054,https://m.lianjia.com/chuzu/bj/zufang/BJ2262197980554084352.html,81,7000,元/月,澳林春天一期,整租
5d1a1a5238a4e51e8e5e40a6,2,2,通州其它,北京,亦庄开发区,,南,2,精装 双卫生间,整租·星悦国际 4房间 南,39.768586,4房间2卫,116.584874,https://m.lianjia.com/chuzu/bj/zufang/BJ2285343956739039232.html,105,4700,元/月,星悦国际,整租
5d1a1c8438a4e51e8e5e485e,1,1,亦庄,北京,亦庄开发区,290,北,1,近地铁 集中供暖 新上 随时看房,林肯公园 2房间 北,39.810115,2房间1卫,116.497474,https://m.lianjia.com/chuzu/bj/zufang/BJ2280946272658014208.html,51,5500,元/月,林肯公园,整租
5d1a221c38a4e51e8e5e5aea,2,2,黄村中,北京,大兴,331,南 北,2,近地铁 精装 集中供暖 双卫生间,整租·清澄名苑北区 2室2厅 南/北,39.744008,2室2厅2卫,116.334907,https://m.lianjia.com/chuzu/bj/zufang/BJ2217805105326202880.html,118,6500,元/月,清澄名苑北区,整租
5d1a25ac38a4e51e8e5e6315,1,3,枣园,北京,大兴,487,南 北,1,近地铁 集中供暖 新上,滨河西里北区 3室1厅 南/北,39.759469,3室1厅1卫,116.345374,https://m.lianjia.com/chuzu/bj/zufang/BJ2290478606356856832.html,88,4500,元/月,滨河西里北区,整租
5d1a107138a4e51e8e5e1ed5,1,1,刘家窑,北京,丰台,153,南,1,近地铁 集中供暖 随时看房,整租·鑫兆雅园北区 1室1厅 南,39.850451,1室1厅1卫,116.433516,https://m.lianjia.com/chuzu/bj/zufang/BJ2261409515373608960.html,68,6200,元/月,鑫兆雅园北区,整租
5d1a239b38a4e51e8e5e5ded,2,3,天宫院南,北京,大兴,,西南,1,集中供暖 新上,天恒旭辉7号院 4房间 西南,39.633359,4房间2卫,116.310967,https://m.lianjia.com/chuzu/bj/zufang/BJ2289582210509963264.html,63,3200,元/月,天恒旭辉7号院,整租
