longitude,latitude,dist,latlon
121.436447,31.237743,静安,"121.436447,31.237743"
121.447527,31.233262,静安,"121.447527,31.233262"
121.4445121,31.23801417,静安,"121.4445121,31.23801417"
121.444049,31.236724,静安,"121.444049,31.236724"
121.4428567,31.23158361,静安,"121.4428567,31.23158361"
121.436447,31.237743,静安,"121.436447,31.237743"
121.4414775,31.23988403,静安,"121.4414775,31.23988403"
121.4414775,31.23988403,静安,"121.4414775,31.23988403"
121.4445121,31.23801417,静安,"121.4445121,31.23801417"
121.43583,31.234041,静安,"121.43583,31.234041"
121.447527,31.233262,静安,"121.447527,31.233262"
121.438672,31.233619,静安,"121.438672,31.233619"
121.4445121,31.23801417,静安,"121.4445121,31.23801417"
121.436447,31.237743,静安,"121.436447,31.237743"
121.436447,31.237743,静安,"121.436447,31.237743"
121.438672,31.233619,静安,"121.438672,31.233619"
121.447527,31.233262,静安,"121.447527,31.233262"
121.447527,31.233262,静安,"121.447527,31.233262"
121.4414775,31.23988403,静安,"121.4414775,31.23988403"
121.436447,31.237743,静安,"121.436447,31.237743"
121.447527,31.233262,静安,"121.447527,31.233262"
121.438021,31.241187,静安,"121.438021,31.241187"
121.439314,31.239513,静安,"121.439314,31.239513"
121.437461,31.231277,静安,"121.437461,31.231277"
121.436447,31.237743,静安,"121.436447,31.237743"
121.447527,31.233262,静安,"121.447527,31.233262"
121.447527,31.233262,静安,"121.447527,31.233262"
121.438021,31.241187,静安,"121.438021,31.241187"
121.436447,31.237743,静安,"121.436447,31.237743"
121.4443161,31.23485492,静安,"121.4443161,31.23485492"
121.4443161,31.23485492,静安,"121.4443161,31.23485492"
121.444049,31.236724,静安,"121.444049,31.236724"
121.4443161,31.23485492,静安,"121.4443161,31.23485492"
121.444274,31.241632,静安,"121.444274,31.241632"
121.436447,31.237743,静安,"121.436447,31.237743"
121.438672,31.233619,静安,"121.438672,31.233619"
121.444049,31.236724,静安,"121.444049,31.236724"
121.442471,31.24135,静安,"121.442471,31.24135"
121.436447,31.237743,静安,"121.436447,31.237743"
121.437461,31.231277,静安,"121.437461,31.231277"
121.4436991,31.24067133,静安,"121.4436991,31.24067133"
121.4460417,31.23686907,静安,"121.4460417,31.23686907"
121.4361234,31.23158127,静安,"121.4361234,31.23158127"
121.434702,31.232956,静安,"121.434702,31.232956"
121.4401498,31.23302397,静安,"121.4401498,31.23302397"
121.4460417,31.23686907,静安,"121.4460417,31.23686907"
121.443773,31.242588,静安,"121.443773,31.242588"
121.436447,31.237743,静安,"121.436447,31.237743"
121.43583,31.234041,静安,"121.43583,31.234041"
121.444086,31.233545,静安,"121.444086,31.233545"
121.447527,31.233262,静安,"121.447527,31.233262"
121.444049,31.236724,静安,"121.444049,31.236724"
121.447527,31.233262,静安,"121.447527,31.233262"
121.445138,31.235518,静安,"121.445138,31.235518"
121.436447,31.237743,静安,"121.436447,31.237743"
121.440395,31.234798,静安,"121.440395,31.234798"
121.436447,31.237743,静安,"121.436447,31.237743"
121.436447,31.237743,静安,"121.436447,31.237743"
121.4361234,31.23158127,静安,"121.4361234,31.23158127"
121.436447,31.237743,静安,"121.436447,31.237743"
121.44589,31.232748,静安,"121.44589,31.232748"
121.436447,31.237743,静安,"121.436447,31.237743"
121.436447,31.237743,静安,"121.436447,31.237743"
121.438672,31.233619,静安,"121.438672,31.233619"
121.444049,31.236724,静安,"121.444049,31.236724"
121.438672,31.233619,静安,"121.438672,31.233619"
121.434702,31.232956,静安,"121.434702,31.232956"
121.442637,31.230688,静安,"121.442637,31.230688"
121.4352093,31.22985559,静安,"121.4352093,31.22985559"
121.440395,31.234798,静安,"121.440395,31.234798"
121.446217,31.234812,静安,"121.446217,31.234812"
121.44589,31.232748,静安,"121.44589,31.232748"
121.436759,31.232562,静安,"121.436759,31.232562"
121.438672,31.233619,静安,"121.438672,31.233619"
121.438021,31.241187,静安,"121.438021,31.241187"
121.447527,31.233262,静安,"121.447527,31.233262"
121.438021,31.241187,静安,"121.438021,31.241187"
121.4449059,31.23427798,静安,"121.4449059,31.23427798"
121.444086,31.233545,静安,"121.444086,31.233545"
121.440923,31.24089,静安,"121.440923,31.24089"
121.437461,31.231277,静安,"121.437461,31.231277"
121.4443161,31.23485492,静安,"121.4443161,31.23485492"
121.4434723,31.24064462,静安,"121.4434723,31.24064462"
121.4443161,31.23485492,静安,"121.4443161,31.23485492"
121.445138,31.235518,静安,"121.445138,31.235518"
121.4490925,31.23432274,静安,"121.4490925,31.23432274"
121.436447,31.237743,静安,"121.436447,31.237743"
121.445276,31.238509,静安,"121.445276,31.238509"
121.441107,31.237988,静安,"121.441107,31.237988"
121.443697,31.241805,静安,"121.443697,31.241805"
121.446217,31.234812,静安,"121.446217,31.234812"
121.437461,31.231277,静安,"121.437461,31.231277"
121.447527,31.233262,静安,"121.447527,31.233262"
121.442659,31.237976,静安,"121.442659,31.237976"
121.442637,31.230688,静安,"121.442637,31.230688"
121.447527,31.233262,静安,"121.447527,31.233262"
121.4459967,31.23662621,静安,"121.4459967,31.23662621"
121.436447,31.237743,静安,"121.436447,31.237743"
121.445138,31.235518,静安,"121.445138,31.235518"
121.4414775,31.23988403,静安,"121.4414775,31.23988403"
121.442637,31.230688,静安,"121.442637,31.230688"
121.440395,31.234798,静安,"121.440395,31.234798"
121.436447,31.237743,静安,"121.436447,31.237743"
121.437228,31.233648,静安,"121.437228,31.233648"
121.444086,31.233545,静安,"121.444086,31.233545"
121.437461,31.231277,静安,"121.437461,31.231277"
121.444049,31.236724,静安,"121.444049,31.236724"
121.436501,31.235389,静安,"121.436501,31.235389"
121.447527,31.233262,静安,"121.447527,31.233262"
121.4445121,31.23801417,静安,"121.4445121,31.23801417"
121.436447,31.237743,静安,"121.436447,31.237743"
121.437461,31.231277,静安,"121.437461,31.231277"
121.446217,31.234812,静安,"121.446217,31.234812"
121.439837,31.239719,静安,"121.439837,31.239719"
121.436447,31.237743,静安,"121.436447,31.237743"
121.438672,31.233619,静安,"121.438672,31.233619"
121.436759,31.232562,静安,"121.436759,31.232562"
121.439837,31.239719,静安,"121.439837,31.239719"
121.436447,31.237743,静安,"121.436447,31.237743"
121.446217,31.234812,静安,"121.446217,31.234812"
121.445276,31.238509,静安,"121.445276,31.238509"
121.442637,31.230688,静安,"121.442637,31.230688"
121.446217,31.234812,静安,"121.446217,31.234812"
121.438672,31.233619,静安,"121.438672,31.233619"
121.434931,31.230864,静安,"121.434931,31.230864"
121.438672,31.233619,静安,"121.438672,31.233619"
121.438672,31.233619,静安,"121.438672,31.233619"
121.438896,31.232882,静安,"121.438896,31.232882"
121.442637,31.230688,静安,"121.442637,31.230688"
121.4443161,31.23485492,静安,"121.4443161,31.23485492"
121.442637,31.230688,静安,"121.442637,31.230688"
121.437461,31.231277,静安,"121.437461,31.231277"
121.445341,31.234227,静安,"121.445341,31.234227"
121.4468077,31.2366951,静安,"121.4468077,31.2366951"
121.4401498,31.23302397,静安,"121.4401498,31.23302397"
121.443773,31.242588,静安,"121.443773,31.242588"
121.444049,31.236724,静安,"121.444049,31.236724"
121.445138,31.235518,静安,"121.445138,31.235518"
121.438896,31.232882,静安,"121.438896,31.232882"
121.438576,31.239101,静安,"121.438576,31.239101"
121.434931,31.230864,静安,"121.434931,31.230864"
121.438672,31.233619,静安,"121.438672,31.233619"
121.439837,31.239719,静安,"121.439837,31.239719"
121.445138,31.235518,静安,"121.445138,31.235518"
121.443234,31.2374,静安,"121.443234,31.2374"
121.437461,31.231277,静安,"121.437461,31.231277"
121.441331,31.240447,静安,"121.441331,31.240447"
121.445138,31.235518,静安,"121.445138,31.235518"
121.438672,31.233619,静安,"121.438672,31.233619"
121.440347,31.235072,静安,"121.440347,31.235072"
121.440347,31.235072,静安,"121.440347,31.235072"
121.438672,31.233619,静安,"121.438672,31.233619"
121.442334,31.233463,静安,"121.442334,31.233463"
121.445138,31.235518,静安,"121.445138,31.235518"
121.436447,31.237743,静安,"121.436447,31.237743"
121.445341,31.234227,静安,"121.445341,31.234227"
121.440395,31.234798,静安,"121.440395,31.234798"
121.439837,31.239719,静安,"121.439837,31.239719"
121.436759,31.232562,静安,"121.436759,31.232562"
121.4382042,31.23189872,静安,"121.4382042,31.23189872"
121.445138,31.235518,静安,"121.445138,31.235518"
121.445276,31.238509,静安,"121.445276,31.238509"
121.438576,31.239101,静安,"121.438576,31.239101"
121.4490925,31.23432274,静安,"121.4490925,31.23432274"
121.43709,31.230884,静安,"121.43709,31.230884"
121.437228,31.233648,静安,"121.437228,31.233648"
121.437461,31.231277,静安,"121.437461,31.231277"
121.443234,31.2374,静安,"121.443234,31.2374"
121.443234,31.2374,静安,"121.443234,31.2374"
121.438576,31.239101,静安,"121.438576,31.239101"
121.447548,31.236299,静安,"121.447548,31.236299"
121.438672,31.233619,静安,"121.438672,31.233619"
121.4443161,31.23485492,静安,"121.4443161,31.23485492"
121.436759,31.232562,静安,"121.436759,31.232562"
121.4361234,31.23158127,静安,"121.4361234,31.23158127"
121.4401498,31.23302397,静安,"121.4401498,31.23302397"
121.436501,31.235389,静安,"121.436501,31.235389"
121.445341,31.234227,静安,"121.445341,31.234227"
121.445138,31.235518,静安,"121.445138,31.235518"
121.446217,31.234812,静安,"121.446217,31.234812"
121.443234,31.2374,静安,"121.443234,31.2374"
121.437228,31.233648,静安,"121.437228,31.233648"
121.442637,31.230688,静安,"121.442637,31.230688"
121.439191,31.237194,静安,"121.439191,31.237194"
121.436447,31.237743,静安,"121.436447,31.237743"
121.441967,31.237465,静安,"121.441967,31.237465"
121.4361234,31.23158127,静安,"121.4361234,31.23158127"
121.437228,31.233648,静安,"121.437228,31.233648"
121.4466592,31.24073315,静安,"121.4466592,31.24073315"
121.4356199,31.2340962,静安,"121.4356199,31.2340962"
121.434931,31.230864,静安,"121.434931,31.230864"
121.444049,31.236724,静安,"121.444049,31.236724"
121.4414775,31.23988403,静安,"121.4414775,31.23988403"
121.447527,31.233262,静安,"121.447527,31.233262"
121.4474255,31.23948958,静安,"121.4474255,31.23948958"
121.444274,31.241632,静安,"121.444274,31.241632"
121.4517715,31.23105282,静安,"121.4517715,31.23105282"
121.458359,31.224531,静安,"121.458359,31.224531"
121.4582125,31.22657765,静安,"121.4582125,31.22657765"
121.448892,31.230921,静安,"121.448892,31.230921"
121.447019,31.227384,静安,"121.447019,31.227384"
121.4517715,31.23105282,静安,"121.4517715,31.23105282"
121.44914,31.228997,静安,"121.44914,31.228997"
121.4518,31.223884,静安,"121.4518,31.223884"
121.442748,31.22694779,静安,"121.442748,31.22694779"
121.447497,31.230891,静安,"121.447497,31.230891"
121.452247,31.222466,静安,"121.452247,31.222466"
121.4520058,31.22404769,静安,"121.4520058,31.22404769"
121.442748,31.22694779,静安,"121.442748,31.22694779"
121.446562,31.22257082,静安,"121.446562,31.22257082"
121.4430519,31.22725288,静安,"121.4430519,31.22725288"
121.458015,31.228051,静安,"121.458015,31.228051"
121.442748,31.22694779,静安,"121.442748,31.22694779"
121.4517715,31.23105282,静安,"121.4517715,31.23105282"
121.449395,31.230713,静安,"121.449395,31.230713"
121.444983,31.22783356,静安,"121.444983,31.22783356"
121.449395,31.230713,静安,"121.449395,31.230713"
121.458015,31.228051,静安,"121.458015,31.228051"
121.453791,31.222792,静安,"121.453791,31.222792"
121.44495,31.222726,静安,"121.44495,31.222726"
121.447019,31.227384,静安,"121.447019,31.227384"
